start_time,end_time,title,description,branch,entity,source_url,source_text,access_datetime,parser_name,person_version
"1969-12-31","","U.S. House of Representatives Roll Call Votes","Roll Call # Roll Question - Title/Description  (Failed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=Roll http://thomas.loc.gov/cgi-bin/bdquery/z?d111:question:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","Roll:Date:Issue:Question:Result:Title/Description","","House Roll Call Votes Scraper","0.1"
"2009-07-31","","U.S. House of Representatives Roll Call Votes","Roll Call # 686 H R 3269 - On Passage Corporate and Financial Institution Compensation Fairness Act (Passed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=686 http://thomas.loc.gov/cgi-bin/bdquery/z?d111:h.r.3269:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","686:31-Jul::H R 3269::On Passage:P:Corporate and Financial Institution Compensation Fairness Act","","House Roll Call Votes Scraper","0.1"
"2009-07-31","","U.S. House of Representatives Roll Call Votes","Roll Call # 685 H R 3269 - On Motion to Recommit with Instructions Corporate and Financial Institution Compensation Fairness Act (Failed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=685 http://thomas.loc.gov/cgi-bin/bdquery/z?d111:h.r.3269:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","685:31-Jul::H R 3269::On Motion to Recommit with Instructions:F:Corporate and Financial Institution Compensation Fairness Act","","House Roll Call Votes Scraper","0.1"
"2009-07-31","","U.S. House of Representatives Roll Call Votes","Roll Call # 684 H R 3269 - On Agreeing to the Amendment Garrett of New Jersey Substitute Amendment (Failed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=684 http://thomas.loc.gov/cgi-bin/bdquery/z?d111:h.r.3269:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","684:31-Jul::H R 3269::On Agreeing to the Amendment:F:Garrett of New Jersey Substitute Amendment","","House Roll Call Votes Scraper","0.1"
"2009-07-31","","U.S. House of Representatives Roll Call Votes","Roll Call # 683 H R 3269 - On Agreeing to the Amendment, as Modified Frank of Massachusetts Amendment, as Modified (Failed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=683 http://thomas.loc.gov/cgi-bin/bdquery/z?d111:h.r.3269:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","683:31-Jul::H R 3269::On Agreeing to the Amendment, as Modified:A:Frank of Massachusetts Amendment, as Modified","","House Roll Call Votes Scraper","0.1"
"2009-07-31","","U.S. House of Representatives Roll Call Votes","Roll Call # 682 H R 3435 - On Motion to Suspend the Rules and Pass Making supplemental appropriations for fiscal year 2009 for the Consumer Assistance to Recycle and Save Program (Passed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=682 http://thomas.loc.gov/cgi-bin/bdquery/z?d111:h.r.3435:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","682:31-Jul::H R 3435::On Motion to Suspend the Rules and Pass:P:Making supplemental appropriations for fiscal year 2009 for the Consumer Assistance to Recycle and Save Program","","House Roll Call Votes Scraper","0.1"
"2009-07-30","","U.S. House of Representatives Roll Call Votes","Roll Call # 681 H R 1752 - On Motion to Suspend the Rules and Pass, as Amended To provide that the usual day for paying salaries in or under the House of Representatives may be established by regulations of the Committee on House Administration (Failed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=681 http://thomas.loc.gov/cgi-bin/bdquery/z?d111:h.r.1752:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","681:30-Jul::H R 1752::On Motion to Suspend the Rules and Pass, as Amended:F:To provide that the usual day for paying salaries in or under the House of Representatives may be established by regulations of the Committee on House Administration","","House Roll Call Votes Scraper","0.1"
"2009-07-30","","U.S. House of Representatives Roll Call Votes","Roll Call # 680 H R 2749 - On Passage Food Safety Enhancement Act of 2009 (Passed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=680 http://thomas.loc.gov/cgi-bin/bdquery/z?d111:h.r.2749:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","680:30-Jul::H R 2749::On Passage:P:Food Safety Enhancement Act of 2009","","House Roll Call Votes Scraper","0.1"
"2009-07-30","","U.S. House of Representatives Roll Call Votes","Roll Call # 679 H R 2749 - On Motion to Recommit with Instructions Food Safety Enhancement Act of 2009 (Failed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=679 http://thomas.loc.gov/cgi-bin/bdquery/z?d111:h.r.2749:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","679:30-Jul::H R 2749::On Motion to Recommit with Instructions:F:Food Safety Enhancement Act of 2009","","House Roll Call Votes Scraper","0.1"
"2009-07-30","","U.S. House of Representatives Roll Call Votes","Roll Call # 678 H R 2728 - On Motion to Suspend the Rules and Pass, as Amended William Orton Law Library Improvement and Modernization Act (Passed) Links:  http://clerk.house.gov/cgi-bin/vote.asp?year=2009&rollnumber=678 http://thomas.loc.gov/cgi-bin/bdquery/z?d111:h.r.2728:","Legislative","House of Representatives","http://clerk.house.gov/evs/2009/index.asp","678:30-Jul::H R 2728::On Motion to Suspend the Rules and Pass, as Amended:P:William Orton Law Library Improvement and Modernization Act","","House Roll Call Votes Scraper","0.1"
